Year,Sport,Discipline,Gender,Event,Country,Medal,,Individual Medal Breakdown,,,Total Metal Breakdown,
1972,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
1976,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
1980,Skating,Speed skating,Men,10000M,USA,Gold,,,,,,
1984,Skating,Speed skating,Men,10000M,URS,Gold,,,,,,
1988,Skating,Speed skating,Men,10000M,SWE,Gold,,,,,,
1992,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
1994,Skating,Speed skating,Men,10000M,NOR,Gold,,,,,,
1998,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
2002,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
2006,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
2010,Skating,Speed skating,Men,10000M,KOR,Gold,,,,,,
2014,Skating,Speed skating,Men,10000M,NED,Gold,,,,,,
1924,Skating,Speed skating,Men,10000M,FIN,Silver,,,,,,
1932,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1936,Skating,Speed skating,Men,10000M,FIN,Silver,,,,,,
1948,Skating,Speed skating,Men,10000M,FIN,Silver,,,,,,
1952,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
1956,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1960,Skating,Speed skating,Men,10000M,URS,Silver,,,,,,
1964,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1968,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1972,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
1976,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1980,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
1984,Skating,Speed skating,Men,10000M,SWE,Silver,,,,,,
1988,Skating,Speed skating,Men,10000M,AUT,Silver,,,,,,
1992,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1994,Skating,Speed skating,Men,10000M,NOR,Silver,,,,,,
1998,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
2002,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
2006,Skating,Speed skating,Men,10000M,USA,Silver,,,,,,
2010,Skating,Speed skating,Men,10000M,RUS,Silver,,,,,,
2014,Skating,Speed skating,Men,10000M,NED,Silver,,,,,,
1976,Skating,Speed skating,Men,1000M,URS,Bronze,,,,,URS,
1980,Skating,Speed skating,Men,1000M,NOR,Bronze,,,,,NOR,
1980,Skating,Speed skating,Men,1000M,URS,Bronze,,,,,JPN,
1984,Skating,Speed skating,Men,1000M,NOR,Bronze,,,,,RUS,
1988,Skating,Speed skating,Men,1000M,URS,Bronze,,,,,USA,
1992,Skating,Speed skating,Men,1000M,JPN,Bronze,,,,,NED,
1994,Skating,Speed skating,Men,1000M,RUS,Bronze,,,,,CAN,
1998,Skating,Speed skating,Men,1000M,JPN,Bronze,,,,,GER,
2002,Skating,Speed skating,Men,1000M,USA,Bronze,,,,,GDR,
2006,Skating,Speed skating,Men,1000M,NED,Bronze,,,,,KOR,
2010,Skating,Speed skating,Men,1000M,USA,Bronze,,,,,BLR,
2014,Skating,Speed skating,Men,1000M,NED,Bronze,,,,,,
1976,Skating,Speed skating,Men,1000M,USA,Gold,,,,,,
1980,Skating,Speed skating,Men,1000M,USA,Gold,,,,,,
1984,Skating,Speed skating,Men,1000M,CAN,Gold,,,,,,
1988,Skating,Speed skating,Men,1000M,URS,Gold,,,,,,
1992,Skating,Speed skating,Men,1000M,GER,Gold,,,,,,
1994,Skating,Speed skating,Men,1000M,USA,Gold,,,,,,
1998,Skating,Speed skating,Men,1000M,NED,Gold,,,,,,
2002,Skating,Speed skating,Men,1000M,NED,Gold,,,,,,
2006,Skating,Speed skating,Men,1000M,USA,Gold,,,,,,
2010,Skating,Speed skating,Men,1000M,USA,Gold,,,,,,
2014,Skating,Speed skating,Men,1000M,NED,Gold,,,,,,
1976,Skating,Speed skating,Men,1000M,NOR,Silver,,,,,,
1980,Skating,Speed skating,Men,1000M,CAN,Silver,,,,,,
1984,Skating,Speed skating,Men,1000M,URS,Silver,,,,,,
1988,Skating,Speed skating,Men,1000M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Men,1000M,KOR,Silver,,,,,,
1994,Skating,Speed skating,Men,1000M,BLR,Silver,,,,,,
1998,Skating,Speed skating,Men,1000M,NED,Silver,,,,,,
2002,Skating,Speed skating,Men,1000M,NED,Silver,,,,,,
2006,Skating,Speed skating,Men,1000M,USA,Silver,,,,,,
2010,Skating,Speed skating,Men,1000M,KOR,Silver,,,,,,
2014,Skating,Speed skating,Men,1000M,CAN,Silver,,,,,,
1924,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,NOR,
1928,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,CAN,
1932,Skating,Speed skating,Men,1500M,CAN,Bronze,,,,,FIN,
1936,Skating,Speed skating,Men,1500M,FIN,Bronze,,,,,URS,
1948,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,SWE,
1952,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,NED,
1956,Skating,Speed skating,Men,1500M,FIN,Bronze,,,,,AUT,
1960,Skating,Speed skating,Men,1500M,URS,Bronze,,,,,USA,
1964,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,GDR,
1972,Skating,Speed skating,Men,1500M,SWE,Bronze,,,,,ITA,
1976,Skating,Speed skating,Men,1500M,NED,Bronze,,,,,POL,
1980,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,,
1984,Skating,Speed skating,Men,1500M,URS,Bronze,,,,,,
1988,Skating,Speed skating,Men,1500M,AUT,Bronze,,,,,,
1992,Skating,Speed skating,Men,1500M,NED,Bronze,,,,,,
1994,Skating,Speed skating,Men,1500M,NED,Bronze,,,,,,
1998,Skating,Speed skating,Men,1500M,NED,Bronze,,,,,,
2002,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,,
2006,Skating,Speed skating,Men,1500M,USA,Bronze,,,,,,
2010,Skating,Speed skating,Men,1500M,NOR,Bronze,,,,,,
2014,Skating,Speed skating,Men,1500M,CAN,Bronze,,,,,,
1924,Skating,Speed skating,Men,1500M,FIN,Gold,,,,,,
1928,Skating,Speed skating,Men,1500M,FIN,Gold,,,,,,
1932,Skating,Speed skating,Men,1500M,USA,Gold,,,,,,
1936,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1948,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1952,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1956,Skating,Speed skating,Men,1500M,URS,Gold,,,,,,
1956,Skating,Speed skating,Men,1500M,URS,Gold,,,,,,
1960,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1960,Skating,Speed skating,Men,1500M,URS,Gold,,,,,,
1964,Skating,Speed skating,Men,1500M,URS,Gold,,,,,,
1968,Skating,Speed skating,Men,1500M,NED,Gold,,,,,,
1972,Skating,Speed skating,Men,1500M,NED,Gold,,,,,,
1976,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1980,Skating,Speed skating,Men,1500M,USA,Gold,,,,,,
1984,Skating,Speed skating,Men,1500M,CAN,Gold,,,,,,
1988,Skating,Speed skating,Men,1500M,GDR,Gold,,,,,,
1992,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1994,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
1998,Skating,Speed skating,Men,1500M,NOR,Gold,,,,,,
2002,Skating,Speed skating,Men,1500M,USA,Gold,,,,,,
2006,Skating,Speed skating,Men,1500M,ITA,Gold,,,,,,
2010,Skating,Speed skating,Men,1500M,NED,Gold,,,,,,
2014,Skating,Speed skating,Men,1500M,POL,Gold,,,,,,
1924,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1928,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1932,Skating,Speed skating,Men,1500M,CAN,Silver,,,,,,
1936,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1948,Skating,Speed skating,Men,1500M,SWE,Silver,,,,,,
1952,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
1964,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
1968,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
1968,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1972,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1976,Skating,Speed skating,Men,1500M,URS,Silver,,,,,,
1980,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1984,Skating,Speed skating,Men,1500M,URS,Silver,,,,,,
1988,Skating,Speed skating,Men,1500M,USA,Silver,,,,,,
1992,Skating,Speed skating,Men,1500M,NOR,Silver,,,,,,
1994,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
1998,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
2002,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
2006,Skating,Speed skating,Men,1500M,USA,Silver,,,,,,
2010,Skating,Speed skating,Men,1500M,USA,Silver,,,,,,
2014,Skating,Speed skating,Men,1500M,NED,Silver,,,,,,
1924,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,NOR,
1928,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,CAN,
1932,Skating,Speed skating,Men,5000M,CAN,Bronze,,,,,FIN,
1936,Skating,Speed skating,Men,5000M,FIN,Bronze,,,,,SWE,
1948,Skating,Speed skating,Men,5000M,SWE,Bronze,,,,,URS,
1952,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,NED,
1956,Skating,Speed skating,Men,5000M,URS,Bronze,,,,,GDR,
1960,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,BEL,
1964,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,GER,
1968,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,ITA,
1972,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,RUS,
1976,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,USA,
1980,Skating,Speed skating,Men,5000M,NOR,Bronze,,,,,KOR,
1984,Skating,Speed skating,Men,5000M,GDR,Bronze,,,,,,
1988,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,,
1992,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,,
1994,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,,
1998,Skating,Speed skating,Men,5000M,BEL,Bronze,,,,,,
2002,Skating,Speed skating,Men,5000M,GER,Bronze,,,,,,
2006,Skating,Speed skating,Men,5000M,ITA,Bronze,,,,,,
2010,Skating,Speed skating,Men,5000M,RUS,Bronze,,,,,,
2014,Skating,Speed skating,Men,5000M,NED,Bronze,,,,,,
1924,Skating,Speed skating,Men,5000M,FIN,Gold,,,,,,
1928,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1932,Skating,Speed skating,Men,5000M,USA,Gold,,,,,,
1936,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1948,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1952,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1956,Skating,Speed skating,Men,5000M,URS,Gold,,,,,,
1960,Skating,Speed skating,Men,5000M,URS,Gold,,,,,,
1964,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1968,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1972,Skating,Speed skating,Men,5000M,NED,Gold,,,,,,
1976,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1980,Skating,Speed skating,Men,5000M,USA,Gold,,,,,,
1984,Skating,Speed skating,Men,5000M,SWE,Gold,,,,,,
1988,Skating,Speed skating,Men,5000M,SWE,Gold,,,,,,
1992,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1994,Skating,Speed skating,Men,5000M,NOR,Gold,,,,,,
1998,Skating,Speed skating,Men,5000M,NED,Gold,,,,,,
2002,Skating,Speed skating,Men,5000M,NED,Gold,,,,,,
2006,Skating,Speed skating,Men,5000M,USA,Gold,,,,,,
2010,Skating,Speed skating,Men,5000M,NED,Gold,,,,,,
2014,Skating,Speed skating,Men,5000M,NED,Gold,,,,,,
1924,Skating,Speed skating,Men,5000M,FIN,Silver,,,,,,
1928,Skating,Speed skating,Men,5000M,FIN,Silver,,,,,,
1932,Skating,Speed skating,Men,5000M,USA,Silver,,,,,,
1936,Skating,Speed skating,Men,5000M,FIN,Silver,,,,,,
1948,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1952,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1956,Skating,Speed skating,Men,5000M,SWE,Silver,,,,,,
1960,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1964,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1968,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1972,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1976,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1980,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1984,Skating,Speed skating,Men,5000M,URS,Silver,,,,,,
1988,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1992,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1994,Skating,Speed skating,Men,5000M,NOR,Silver,,,,,,
1998,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
2002,Skating,Speed skating,Men,5000M,USA,Silver,,,,,,
2006,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
2010,Skating,Speed skating,Men,5000M,KOR,Silver,,,,,,
2014,Skating,Speed skating,Men,5000M,NED,Silver,,,,,,
1924,Skating,Speed skating,Men,500M,FIN,Bronze,,,,,FIN,
1924,Skating,Speed skating,Men,500M,NOR,Bronze,,,,,NOR,
1928,Skating,Speed skating,Men,500M,FIN,Bronze,,,,,USA,
1928,Skating,Speed skating,Men,500M,NOR,Bronze,,,,,CAN,
1928,Skating,Speed skating,Men,500M,USA,Bronze,,,,,URS,
1932,Skating,Speed skating,Men,500M,CAN,Bronze,,,,,NED,
1936,Skating,Speed skating,Men,500M,USA,Bronze,,,,,JPN,
1952,Skating,Speed skating,Men,500M,CAN,Bronze,,,,,KOR,
1952,Skating,Speed skating,Men,500M,NOR,Bronze,,,,,FRG,
1956,Skating,Speed skating,Men,500M,NOR,Bronze,,,,,GDR,
1960,Skating,Speed skating,Men,500M,URS,Bronze,,,,,GER,
1972,Skating,Speed skating,Men,500M,URS,Bronze,,,,,RUS,
1976,Skating,Speed skating,Men,500M,USA,Bronze,,,,,SWE,
1980,Skating,Speed skating,Men,500M,NED,Bronze,,,,,,
1984,Skating,Speed skating,Men,500M,CAN,Bronze,,,,,,
1988,Skating,Speed skating,Men,500M,JPN,Bronze,,,,,,
1992,Skating,Speed skating,Men,500M,JPN,Bronze,,,,,,
1994,Skating,Speed skating,Men,500M,JPN,Bronze,,,,,,
1998,Skating,Speed skating,Men,500M,CAN,Bronze,,,,,,
2002,Skating,Speed skating,Men,500M,USA,Bronze,,,,,,
2006,Skating,Speed skating,Men,500M,KOR,Bronze,,,,,,
2010,Skating,Speed skating,Men,500M,JPN,Bronze,,,,,,
2014,Skating,Speed skating,Men,500M,NED,Bronze,,,,,,
1924,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
1928,Skating,Speed skating,Men,500M,FIN,Gold,,,,,,
1928,Skating,Speed skating,Men,500M,NOR,Gold,,,,,,
1932,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
1936,Skating,Speed skating,Men,500M,NOR,Gold,,,,,,
1948,Skating,Speed skating,Men,500M,NOR,Gold,,,,,,
1952,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
1956,Skating,Speed skating,Men,500M,URS,Gold,,,,,,
1960,Skating,Speed skating,Men,500M,URS,Gold,,,,,,
1964,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
1968,Skating,Speed skating,Men,500M,FRG,Gold,,,,,,
1972,Skating,Speed skating,Men,500M,FRG,Gold,,,,,,
1976,Skating,Speed skating,Men,500M,URS,Gold,,,,,,
1980,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
1984,Skating,Speed skating,Men,500M,URS,Gold,,,,,,
1988,Skating,Speed skating,Men,500M,GDR,Gold,,,,,,
1992,Skating,Speed skating,Men,500M,GER,Gold,,,,,,
1994,Skating,Speed skating,Men,500M,RUS,Gold,,,,,,
1998,Skating,Speed skating,Men,500M,JPN,Gold,,,,,,
2002,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
2006,Skating,Speed skating,Men,500M,USA,Gold,,,,,,
2010,Skating,Speed skating,Men,500M,KOR,Gold,,,,,,
2014,Skating,Speed skating,Men,500M,NED,Gold,,,,,,
1924,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1932,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1936,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1948,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1948,Skating,Speed skating,Men,500M,USA,Silver,,,,,,
1948,Skating,Speed skating,Men,500M,USA,Silver,,,,,,
1952,Skating,Speed skating,Men,500M,USA,Silver,,,,,,
1956,Skating,Speed skating,Men,500M,URS,Silver,,,,,,
1960,Skating,Speed skating,Men,500M,USA,Silver,,,,,,
1964,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1964,Skating,Speed skating,Men,500M,URS,Silver,,,,,,
1964,Skating,Speed skating,Men,500M,URS,Silver,,,,,,
1968,Skating,Speed skating,Men,500M,NOR,Silver,,,,,,
1968,Skating,Speed skating,Men,500M,USA,Silver,,,,,,
1972,Skating,Speed skating,Men,500M,SWE,Silver,,,,,,
1976,Skating,Speed skating,Men,500M,URS,Silver,,,,,,
1980,Skating,Speed skating,Men,500M,URS,Silver,,,,,,
1984,Skating,Speed skating,Men,500M,JPN,Silver,,,,,,
1988,Skating,Speed skating,Men,500M,NED,Silver,,,,,,
1992,Skating,Speed skating,Men,500M,JPN,Silver,,,,,,
1994,Skating,Speed skating,Men,500M,RUS,Silver,,,,,,
1998,Skating,Speed skating,Men,500M,CAN,Silver,,,,,,
2002,Skating,Speed skating,Men,500M,JPN,Silver,,,,,,
2006,Skating,Speed skating,Men,500M,RUS,Silver,,,,,,
2010,Skating,Speed skating,Men,500M,JPN,Silver,,,,,,
2014,Skating,Speed skating,Men,500M,NED,Silver,,,,,,
1924,Skating,Speed skating,Men,Combined (4 Events),FIN,Bronze,,,,,,
1924,Skating,Speed skating,Men,Combined (4 Events),FIN,Gold,,,,,,
1924,Skating,Speed skating,Men,Combined (4 Events),NOR,Silver,,,,,,
2006,Skating,Speed skating,Men,Team Pursuit,NED,Bronze,,,,,NED,
2010,Skating,Speed skating,Men,Team Pursuit,NED,Bronze,,,,,POL,
2014,Skating,Speed skating,Men,Team Pursuit,POL,Bronze,,,,,ITA,
2006,Skating,Speed skating,Men,Team Pursuit,ITA,Gold,,,,,CAN,
2010,Skating,Speed skating,Men,Team Pursuit,CAN,Gold,,,,,USA,
2014,Skating,Speed skating,Men,Team Pursuit,NED,Gold,,,,,KOR,
2006,Skating,Speed skating,Men,Team Pursuit,CAN,Silver,,,,,,
2010,Skating,Speed skating,Men,Team Pursuit,USA,Silver,,,,,,
2014,Skating,Speed skating,Men,Team Pursuit,KOR,Silver,,,,,,
1960,Skating,Speed skating,Women,1000M,URS,Bronze,,,,,URS,
1964,Skating,Speed skating,Women,1000M,FIN,Bronze,,,,,FIN,
1968,Skating,Speed skating,Women,1000M,USA,Bronze,,,,,USA,
1972,Skating,Speed skating,Women,1000M,USA,Bronze,,,,,GDR,
1976,Skating,Speed skating,Women,1000M,USA,Bronze,,,,,GER,
1980,Skating,Speed skating,Women,1000M,GDR,Bronze,,,,,CHN,
1984,Skating,Speed skating,Women,1000M,URS,Bronze,,,,,CAN,
1988,Skating,Speed skating,Women,1000M,USA,Bronze,,,,,NED,
1992,Skating,Speed skating,Women,1000M,GER,Bronze,,,,,FRG,
1994,Skating,Speed skating,Women,1000M,CHN,Bronze,,,,,EUA,
1998,Skating,Speed skating,Women,1000M,CAN,Bronze,,,,,,
2002,Skating,Speed skating,Women,1000M,USA,Bronze,,,,,,
2006,Skating,Speed skating,Women,1000M,GER,Bronze,,,,,,
2010,Skating,Speed skating,Women,1000M,NED,Bronze,,,,,,
2014,Skating,Speed skating,Women,1000M,NED,Bronze,,,,,,
1960,Skating,Speed skating,Women,1000M,URS,Gold,,,,,,
1964,Skating,Speed skating,Women,1000M,URS,Gold,,,,,,
1968,Skating,Speed skating,Women,1000M,NED,Gold,,,,,,
1972,Skating,Speed skating,Women,1000M,FRG,Gold,,,,,,
1976,Skating,Speed skating,Women,1000M,URS,Gold,,,,,,
1980,Skating,Speed skating,Women,1000M,URS,Gold,,,,,,
1984,Skating,Speed skating,Women,1000M,GDR,Gold,,,,,,
1988,Skating,Speed skating,Women,1000M,GDR,Gold,,,,,,
1992,Skating,Speed skating,Women,1000M,USA,Gold,,,,,,
1994,Skating,Speed skating,Women,1000M,USA,Gold,,,,,,
1998,Skating,Speed skating,Women,1000M,NED,Gold,,,,,,
2002,Skating,Speed skating,Women,1000M,USA,Gold,,,,,,
2006,Skating,Speed skating,Women,1000M,NED,Gold,,,,,,
2010,Skating,Speed skating,Women,1000M,CAN,Gold,,,,,,
2014,Skating,Speed skating,Women,1000M,CHN,Gold,,,,,,
1960,Skating,Speed skating,Women,1000M,EUA,Silver,,,,,,
1964,Skating,Speed skating,Women,1000M,URS,Silver,,,,,,
1968,Skating,Speed skating,Women,1000M,URS,Silver,,,,,,
1972,Skating,Speed skating,Women,1000M,NED,Silver,,,,,,
1976,Skating,Speed skating,Women,1000M,USA,Silver,,,,,,
1980,Skating,Speed skating,Women,1000M,USA,Silver,,,,,,
1984,Skating,Speed skating,Women,1000M,GDR,Silver,,,,,,
1988,Skating,Speed skating,Women,1000M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Women,1000M,CHN,Silver,,,,,,
1994,Skating,Speed skating,Women,1000M,GER,Silver,,,,,,
1998,Skating,Speed skating,Women,1000M,USA,Silver,,,,,,
2002,Skating,Speed skating,Women,1000M,GER,Silver,,,,,,
2006,Skating,Speed skating,Women,1000M,CAN,Silver,,,,,,
2010,Skating,Speed skating,Women,1000M,NED,Silver,,,,,,
2014,Skating,Speed skating,Women,1000M,NED,Silver,,,,,,
1960,Skating,Speed skating,Women,1500M,POL,Bronze,,,,,POL,
1964,Skating,Speed skating,Women,1500M,URS,Bronze,,,,,URS,
1968,Skating,Speed skating,Women,1500M,NED,Bronze,,,,,NED,
1972,Skating,Speed skating,Women,1500M,NED,Bronze,,,,,GDR,
1976,Skating,Speed skating,Women,1500M,URS,Bronze,,,,,JPN,
1980,Skating,Speed skating,Women,1500M,GDR,Bronze,,,,,GER,
1984,Skating,Speed skating,Women,1500M,URS,Bronze,,,,,USA,
1988,Skating,Speed skating,Women,1500M,GDR,Bronze,,,,,CZE,
1992,Skating,Speed skating,Women,1500M,JPN,Bronze,,,,,FIN,
1994,Skating,Speed skating,Women,1500M,GER,Bronze,,,,,AUT,
1998,Skating,Speed skating,Women,1500M,USA,Bronze,,,,,CAN,
2002,Skating,Speed skating,Women,1500M,USA,Bronze,,,,,RUS,
2006,Skating,Speed skating,Women,1500M,NED,Bronze,,,,,,
2010,Skating,Speed skating,Women,1500M,CZE,Bronze,,,,,,
2014,Skating,Speed skating,Women,1500M,NED,Bronze,,,,,,
1960,Skating,Speed skating,Women,1500M,URS,Gold,,,,,,
1964,Skating,Speed skating,Women,1500M,URS,Gold,,,,,,
1968,Skating,Speed skating,Women,1500M,FIN,Gold,,,,,,
1972,Skating,Speed skating,Women,1500M,USA,Gold,,,,,,
1976,Skating,Speed skating,Women,1500M,URS,Gold,,,,,,
1980,Skating,Speed skating,Women,1500M,NED,Gold,,,,,,
1984,Skating,Speed skating,Women,1500M,GDR,Gold,,,,,,
1988,Skating,Speed skating,Women,1500M,NED,Gold,,,,,,
1992,Skating,Speed skating,Women,1500M,GER,Gold,,,,,,
1994,Skating,Speed skating,Women,1500M,AUT,Gold,,,,,,
1998,Skating,Speed skating,Women,1500M,NED,Gold,,,,,,
2002,Skating,Speed skating,Women,1500M,GER,Gold,,,,,,
2006,Skating,Speed skating,Women,1500M,CAN,Gold,,,,,,
2010,Skating,Speed skating,Women,1500M,NED,Gold,,,,,,
2014,Skating,Speed skating,Women,1500M,NED,Gold,,,,,,
1960,Skating,Speed skating,Women,1500M,POL,Silver,,,,,,
1964,Skating,Speed skating,Women,1500M,FIN,Silver,,,,,,
1968,Skating,Speed skating,Women,1500M,NED,Silver,,,,,,
1972,Skating,Speed skating,Women,1500M,NED,Silver,,,,,,
1976,Skating,Speed skating,Women,1500M,USA,Silver,,,,,,
1980,Skating,Speed skating,Women,1500M,NED,Silver,,,,,,
1984,Skating,Speed skating,Women,1500M,GDR,Silver,,,,,,
1988,Skating,Speed skating,Women,1500M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Women,1500M,GER,Silver,,,,,,
1994,Skating,Speed skating,Women,1500M,RUS,Silver,,,,,,
1998,Skating,Speed skating,Women,1500M,GER,Silver,,,,,,
2002,Skating,Speed skating,Women,1500M,GER,Silver,,,,,,
2006,Skating,Speed skating,Women,1500M,CAN,Silver,,,,,,
2010,Skating,Speed skating,Women,1500M,CAN,Silver,,,,,,
2014,Skating,Speed skating,Women,1500M,NED,Silver,,,,,,
1960,Skating,Speed skating,Women,3000M,FIN,Bronze,,,,,FIN,
1968,Skating,Speed skating,Women,3000M,NED,Bronze,,,,,NED,
1972,Skating,Speed skating,Women,3000M,NED,Bronze,,,,,NOR,
1976,Skating,Speed skating,Women,3000M,NOR,Bronze,,,,,USA,
1980,Skating,Speed skating,Women,3000M,USA,Bronze,,,,,GDR,
1984,Skating,Speed skating,Women,3000M,GDR,Bronze,,,,,AUT,
1988,Skating,Speed skating,Women,3000M,GDR,Bronze,,,,,GER,
1992,Skating,Speed skating,Women,3000M,AUT,Bronze,,,,,CAN,
1994,Skating,Speed skating,Women,3000M,GER,Bronze,,,,,RUS,
1998,Skating,Speed skating,Women,3000M,GER,Bronze,,,,,URS,
2002,Skating,Speed skating,Women,3000M,CAN,Bronze,,,,,CZE,
2006,Skating,Speed skating,Women,3000M,CAN,Bronze,,,,,PRK,
2010,Skating,Speed skating,Women,3000M,CAN,Bronze,,,,,,
2014,Skating,Speed skating,Women,3000M,RUS,Bronze,,,,,,
1960,Skating,Speed skating,Women,3000M,URS,Gold,,,,,,
1964,Skating,Speed skating,Women,3000M,URS,Gold,,,,,,
1968,Skating,Speed skating,Women,3000M,NED,Gold,,,,,,
1972,Skating,Speed skating,Women,3000M,NED,Gold,,,,,,
1976,Skating,Speed skating,Women,3000M,URS,Gold,,,,,,
1980,Skating,Speed skating,Women,3000M,NOR,Gold,,,,,,
1984,Skating,Speed skating,Women,3000M,GDR,Gold,,,,,,
1988,Skating,Speed skating,Women,3000M,NED,Gold,,,,,,
1992,Skating,Speed skating,Women,3000M,GER,Gold,,,,,,
1994,Skating,Speed skating,Women,3000M,RUS,Gold,,,,,,
1998,Skating,Speed skating,Women,3000M,GER,Gold,,,,,,
2002,Skating,Speed skating,Women,3000M,GER,Gold,,,,,,
2006,Skating,Speed skating,Women,3000M,NED,Gold,,,,,,
2010,Skating,Speed skating,Women,3000M,CZE,Gold,,,,,,
2014,Skating,Speed skating,Women,3000M,NED,Gold,,,,,,
1960,Skating,Speed skating,Women,3000M,URS,Silver,,,,,,
1964,Skating,Speed skating,Women,3000M,PRK,Silver,,,,,,
1964,Skating,Speed skating,Women,3000M,URS,Silver,,,,,,
1968,Skating,Speed skating,Women,3000M,FIN,Silver,,,,,,
